date,shanghai_close,600000_close,600009_close,600016_close,600028_close,600030_close,600031_close,600036_close,600048_close,600050_close,600104_close,600196_close,600276_close,600309_close,600519_close,600547_close,600585_close,600588_close,600690_close,600703_close,600745_close,600837_close,600887_close,601012_close,601066_close,601088_close,601138_close,601166_close,601186_close,601211_close,601236_close,601288_close,601318_close,601319_close,601328_close,601336_close,601398_close,601601_close,601628_close,601658_close,601668_close,601688_close,601816_close,601818_close,601857_close,601888_close,601988_close,601989_close,603160_close,603259_close,603993_close
2022/5/11,3058.7027,7.86,47.67,3.66,4.27,19.13,16.2,37.21,15.83,3.49,15.8,45.04,29.95,82.35,1768,18.21,38.33,18.72,25.56,19.32,68.59,8.92,38.7,69.78,21.98,28.64,9.38,19.78,8.35,14.14,7.84,3.05,44.73,4.58,4.91,28.07,4.66,20.63,25.25,5.25,5.85,13.11,4.49,3.11,5.19,176.65,3.2,3.52,57.9,101.28,4.45
2022/5/10,3035.8442,7.85,47.12,3.66,4.29,19.01,16.2,36.98,16.45,3.49,15.99,45.8,29.39,82.11,1766.19,18.26,38.76,18.52,25.16,18.64,68.71,8.9,39.05,71.4,21.89,29.24,9.39,20,8.4,14.19,7.88,3.09,44.47,4.59,4.91,28.23,4.73,20.5,25.4,5.35,6.04,13.07,4.48,3.12,5.18,165.95,3.2,3.53,57.86,100.65,4.53
2022/5/9,3004.1409,7.82,47.25,3.64,4.3,18.73,15.94,36.47,16.27,3.5,15.88,41.89,29.3,77.96,1752,18.33,38.73,18.36,25.62,17.98,62.46,8.8,37.84,68.42,22.04,28.68,9.34,19.62,8.56,14.13,7.93,3.07,44.35,4.56,4.87,28.16,4.76,20.59,25.55,5.42,5.91,13,4.42,3.12,5.34,160,3.2,3.53,57.2,97.48,4.44
2022/5/6,3001.5605,7.85,48.21,3.62,4.3,18.8,16.21,37.91,16.39,3.48,15.96,43.2,29.34,78.8,1793,18.43,38.93,18.02,25.24,17.87,60.29,8.75,37.77,69.33,21.66,29.61,9.21,19.96,8.38,14.04,7.85,3.05,44.06,4.59,4.88,28.19,4.74,20.06,25.59,5.34,5.97,12.87,4.42,3.11,5.29,163.69,3.19,3.52,56.68,93.63,4.5
2022/5/5,3067.7587,7.99,51.3,3.68,4.28,19.38,16.6,39.26,17.54,3.46,16.34,42.82,29.68,79.5,1837,19.02,40.38,18.32,25.55,18.3,61.09,8.97,38.72,67.03,21.34,30.24,9.19,20.4,8.23,14.08,7.85,3.08,45.02,4.59,4.99,27.78,4.75,20.8,25.1,5.47,6.19,12.82,4.43,3.11,5.45,179.74,3.19,3.49,56.8,94.4,4.55
2022/4/29,3047.0624,8.03,49.4,3.7,4.35,19.69,16.5,39.93,18.12,3.53,16.59,43.54,29.48,81.69,1828.38,19.16,39.96,18.48,26.49,18.3,64.41,9.05,38.47,69.08,21.66,30.63,9.6,20.48,8.46,14.33,8.14,3.06,44.56,4.59,5.08,28.87,4.78,20.8,25.55,5.6,6.28,13.19,4.54,3.17,5.38,181.99,3.23,3.57,57,98.05,4.74
2022/4/28,2975.4848,7.99,48.12,3.64,4.34,18.77,15.78,39.62,17.8,3.52,15.95,42.98,28.45,77.85,1835,18.29,40.1,19.14,25.91,17.77,65.78,8.81,38.06,67.96,21.58,30.78,9.52,21.05,8.42,14.6,9.04,3.06,43.66,4.38,5.08,29.83,4.77,20.42,25.45,5.41,6.18,13.35,4.59,3.19,5.18,181.58,3.23,3.57,56.49,103.23,4.68
2022/4/27,2958.282,7.83,50.41,3.64,4.32,18.81,15.62,38.04,16.78,3.49,15.43,42.52,28.06,79.97,1794.92,18.62,39.49,17.7,24.53,18.11,62.7,8.91,39,64.58,20.37,31.21,9.42,20.54,8.31,14.15,8.6,3.03,43.91,4.24,5.05,29.4,4.71,20.38,24.5,5.48,5.93,12.86,4.56,3.19,5.08,183.99,3.26,3.51,51.35,103.28,4.46
2022/4/26,2886.4257,7.87,47.98,3.63,4.22,18.33,14.61,38.41,17.57,3.47,15.14,42.37,27.74,78.78,1732.48,18.13,37.66,17.73,23.79,16.87,62.6,8.92,37.87,61.3,21.12,28.97,9.37,20.42,8.01,14.36,9.08,3.07,43.59,4.27,5.04,29.32,4.81,20.31,25.02,5.32,5.85,13.08,4.68,3.22,4.99,180.02,3.23,3.51,52.21,104.05,4.52
2022/4/25,2928.5118,7.82,48.53,3.64,4.15,19.23,15.32,38.83,16.99,3.43,15.06,44.94,29.7,77.3,1708,18.66,37.09,16.94,23.71,17.75,60.17,9.31,37.33,57.17,21.02,28.47,9.19,20.28,7.72,14.26,9.39,3.06,44.85,4.24,5.05,29.21,4.75,20.81,24.73,5.34,5.67,12.96,4.65,3.23,5.05,173.49,3.28,3.49,55.6,102.45,4.27
