trddy,mkt_rf,smb,hml,umd,rmw,cma,rf,smb_equal,hml_equal,umd_equal,rmw_equal,cma_equal
1994/1/4,-0.003949543,0.000328978,0.003826515,0.010374388,-0.004755341,-0.014706285,0.000285,0.002883189,0.005369983,0.008678517,-0.007092639,-0.01948125
1994/1/5,0.007166298,0.011849786,0.012678526,0.009253646,-0.020330273,-0.006644947,0.000285,0.011780433,0.013750633,0.012208088,-0.017224923,-0.000044583
1994/1/6,0.028537397,0.012045588,0.00572167,-0.000345748,-0.002358487,0.008642281,0.000285,0.008663856,0.001759983,-0.004892769,-0.004766702,-0.00083825
1994/1/7,-0.004087474,0.009666317,0.005175209,-0.02768281,0.003846094,0.00441049,0.000285,0.011542713,0.007984958,-0.028359353,0.000226962,0.001732417
1994/1/10,0.002382263,0.010774476,0.018842845,-0.000998606,-0.031611332,-0.03187062,0.000285,0.009054326,0.014787533,0.001511487,-0.025590067,-0.010480167
1994/1/11,-0.012748443,-0.003695012,-0.005611856,0.012066387,0.007813624,0.003949894,0.000285,-0.004198585,-0.002248317,0.008111135,0.002170168,-0.002963833
1994/1/12,-0.00532458,0.003343508,0.00342653,0.002793257,0.002737961,-0.002812077,0.000285,0.007745126,0.004415917,-0.002070122,-0.003284462,-0.012984667
1994/1/13,-0.000292039,0.003335134,0.010129455,-0.008760127,-0.007989817,-0.008682731,0.000285,0.002400404,0.010146633,-0.004905887,-0.005778543,0.000704917
1994/1/14,-0.033699757,-0.023247514,-0.026024276,0.007708998,0.03782269,0.01477873,0.000285,-0.021368741,-0.018211667,0.007946021,0.031944125,0.004768417
1994/1/17,-0.002632096,0.015485394,0.021263198,0.001471415,-0.02534811,-0.019620874,0.000285,0.018612474,0.0189917,0.000476887,-0.023375149,-0.006184667
1994/1/18,0.004168375,-0.001805932,-0.031923187,0.027267013,0.019003334,-0.000145877,0.000285,-0.009840598,-0.031681108,0.018502345,0.020194394,-0.000308
1994/1/19,-0.026504033,-0.002839889,-0.000668392,0.011328823,0.002427384,0.005371996,0.000285,-0.0035587,0.001570117,0.00879695,-0.00009076,0.0007435
1994/1/20,-0.016310006,0.008741116,0.009361963,0.005505963,-0.014238444,-0.004672316,0.000285,0.005319633,0.00434505,0.003912601,-0.012292966,-0.0010185
1994/1/21,0.001437928,0.005903906,0.009323622,-0.01036117,-0.006422665,0.003214895,0.000285,0.008841783,0.011415458,-0.007755492,-0.008736803,0.005456667
1994/1/24,0.009270565,0.015481235,0.016632196,-0.031186221,-0.011688597,0.008979796,0.000285,0.019252104,0.013793317,-0.019970055,-0.007338832,0.013205833
1994/1/25,-0.02798674,-0.000172063,-0.00490008,0.011480391,0.004104348,-0.008112591,0.000285,-0.000757346,-0.004737925,0.003920672,0.003841389,-0.008156583
1994/1/26,-0.016272224,0.002592016,0.02396848,-0.010642598,-0.017264482,-0.017854269,0.000285,0.004211761,0.021770558,-0.005852109,-0.01526213,-0.01323875
1994/1/27,0.007996484,0.000401262,-0.004673021,0.000400128,3.38E-06,-0.005898224,0.000285,-0.002326504,-0.005283434,0.000076125,-0.001063208,-0.00362875
1994/1/28,-0.031491658,0.006701129,0.002350299,-0.004756734,-0.007511573,-0.013565014,0.000285,0.00802712,0.000471925,-0.003212882,-0.00508675,-0.00618525
1994/1/31,-0.049196261,0.011540675,0.018364763,0.000933657,-0.023418296,-0.030901419,0.000285,0.012553915,0.01691095,0.00225145,-0.017883822,-0.01869525
1994/2/1,-0.010264505,-0.00401292,-0.008510292,-0.007523606,0.015508481,0.026883739,0.000285,-0.005569619,-0.010407683,-0.004891615,0.010412621,0.021772583
1994/2/2,0.030058907,-0.009037445,-0.007967926,0.005419751,0.007026096,-0.004005819,0.000285,-0.007515752,-0.006204183,0.000512923,0.009270923,-0.009870917
1994/2/3,0.058940925,-0.024045029,-0.040301941,-0.015474882,0.056181209,0.032953088,0.000285,-0.028666341,-0.035956417,-0.012772077,0.049169692,0.00802275
1994/2/4,0.037378178,-0.00514798,-0.01607487,-0.012572736,0.015294097,0.004869494,0.000285,-0.008324081,-0.01626165,-0.028222615,0.016070215,0.003474333
1994/2/14,-0.06969964,0.03209577,0.031928071,0.012888666,-0.052391567,-0.027935325,0.000285,0.032790141,0.02906415,0.019132385,-0.041891867,-0.005247417
1994/2/15,-0.008354353,-0.000389421,0.00842933,-0.000061733,-0.011070829,-0.002054808,0.000285,-0.004360393,0.005851283,-0.001177538,-0.007516487,0.001920583
1994/2/16,-0.003689875,0.007194711,0.002149013,-0.000509777,-0.007205001,-0.007909741,0.000285,0.010028704,0.000964317,-0.000221615,-0.005638723,-0.003514667
